"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"conn_usb_B_micro_smd-2";1;"USB_OTG";;;
2;"C1,C3,C4,C5";"C_0805";4;"100n";;;
3;"C2";"C_0805";1;"1u";;;
4;"D1";"LED_0805";1;"LED";;;
5;"J2";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"Conn_01x06";;;
6;"R1";"R_0805";1;"270R";;;
7;"R2,R3,R4";"R_0805";3;"4k7";;;
8;"U1";"TSOT-23-5";1;"SPX3819";;;
9;"U2";"LQFP-32_7x7mm_Pitch0.8mm";1;"STM32F042K4Tx";;;
10;"X1";"Micro-Match-FOB-6";1;"I2C-6P";;;
11;"X2";"Micro-Match-FOB-4";1;"I2C";;;
12;"X3";"SWD";1;"SWD";;;
