Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10u,
C2,0805,1,10u,
C3,0805,1,100n,
C4,0805,1,100n,
C5,0805,1,100n,
C6,0805,1,100n,
C7,0805,1,1u,
C8,0805,1,15p,
C9,0805,1,15p,
D1,0805,1,LED,
J1,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
J3,IDC-Header_2x03_P2.54mm_Vertical,1,Conn_01x06,
J4,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle,
R1,0805,1,270R,
R2,0805,1,4k7,
R3,0805,1,4k7,
R4,0805,1,4k7,
R5,0805,1,10k,
R6,0805,1,1M,
R7,0805,1,5.11k 1%,
R8,0805,1,5.11k 1%,
U1,SOT-223-3_TabPin2,1,LM1117MP-3.3,
U2,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,ESP32-C3,
X1,Micro-Match-FOB-6,1,I2C-6P,
X2,Micro-Match-FOB-4,1,I2C,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHz,
