Designator,Mid X,Mid Y,Rotation,Layer
C1,11.0,-7.0,270.0,top
C2,20.5,7.0,90.0,top
C3,23.0,-7.0,270.0,top
C4,20.0,-7.0,270.0,top
C5,31.0,1.25,0.0,top
C6,25.5,7.0,90.0,top
C7,26.0,-7.05,90.0,top
C8,14.0,-7.0,90.0,top
C9,17.0,-7.0,90.0,top
D1,23.0,7.0,270.0,top
J1,57.468,6.4,0.0,top
J3,37.0,2.54,0.0,top
J4,3.0,0.0,270.0,top
R1,28.0,7.0,90.0,top
R2,31.0,3.75,180.0,top
R3,31.0,-1.25,180.0,top
R4,31.0,-3.75,180.0,top
R5,29.0,-7.0,90.0,top
R6,2.5,6.5,180.0,top
R7,6.5,6.5,0.0,top
R8,10.5,-2.0,270.0,top
U1,14.0,5.0,0.0,top
U2,22.5,-1.0,90.0,top
X1,48.5,3.75,270.0,top
X2,48.5,-5.25,270.0,top
Y1,15.5,-2.75,90.0,top
